Date,Day_of_Week,Month,Semester_Status,Students_On_Campus,Staff_On_Campus,Temperature_C,Humidity_Percent,Rainfall_mm,Water_Tank_Level_Start_Liters,Water_Usage_Liters,Water_Pumped_Liters,Energy_Used_for_Pumping_kWh,Leak_Events,Special_Event,Predicted_Water_Demand_Liters
1/29/2025,Wednesday,1,Semester,4939,667,22.7,38,0.1,152124,175953,177019,351.2,0,,178201
1/30/2025,Thursday,1,Semester,5122,685,23.6,36,2.8,115995,175716,175885,356.1,0,,175210
1/31/2025,Friday,1,Semester,4912,707,24.1,53,0.2,130303,180919,197134,401.9,0,,181729
2/1/2025,Saturday,2,Semester,2460,353,26.5,36,0.3,182223.7008,133697,133902,272.8,0,,135267
2/2/2025,Sunday,2,Semester,2496,314,25.2,38,0.6,122272,131901,134821,280.5,0,,132513
2/3/2025,Monday,2,Semester,4797,582,25.6,30,1.7,94813,172864,176904,356.3,0,Festival,176552
2/4/2025,Tuesday,2,Semester,5343,607,25,34,0,112941,184770,188676,383.5,0,,184498
2/5/2025,Wednesday,2,Semester,5160,675,24,47,0.1,130314,183510,185591,382.8,0,,185908
2/6/2025,Thursday,2,Semester,5861,558,27.2,46,0,127226,197562,197382,401,0,Sports_Event,192252
2/7/2025,Friday,2,Semester,4789,559,25.4,48,0.4,176904,176125,179580,348.6,0,,180703
2/8/2025,Saturday,2,Semester,2853,331,20.7,58,3.5,136890,134456,132777,258.3,0,,134469
2/9/2025,Sunday,2,Semester,2514,331,26.6,34,3.1,126440,126402,129205,246.1,0,,129596
2/10/2025,Monday,2,Semester,5132,560,28.9,46,0.7,134249,185779,189318,380,0,Orientation,187392
2/11/2025,Tuesday,2,Semester,5547,542,26.7,55,0.5,86031,191108,192902,397.8,0,,191293
2/12/2025,Wednesday,2,Semester,5651,509,20.7,44,0.6,129845,188046,191730,371.9,0,,188962
2/13/2025,Thursday,2,Semester,4624,578,22.4,44,1.1,153878,168805,170091,335.9,0,,166822
2/14/2025,Friday,2,Semester,4957,537,23.6,33,0.7,127451,176315,179086,367.8,0,,176034
2/15/2025,Saturday,2,Semester,2433,374,26.9,39,0.5,115604,137202,138735,290.6,0,,136579
2/16/2025,Sunday,2,Semester,2672,362,32.7,56,0.1,168094,129778,130562,253.9,0,,128161
2/17/2025,Monday,2,Semester,4567,754,27.2,44,0.1,166998,181276,184797,361.3,0,,180800
2/18/2025,Tuesday,2,Semester,4649,509,27.3,64,0.4,130692,172503,173960,346,0,,170876
2/19/2025,Wednesday,2,Semester,4805,572,22.8,45,0.5,109226,174747,191619,378.6,0,Sports_Event,176635
2/20/2025,Thursday,2,Semester,5200,541,25.2,52,0.8,153325,179125,180278,352.5,0,,175056
2/21/2025,Friday,2,Semester,5019,640,22.7,51,0.2,88461,186739,186322,365.8,0,,185777
2/22/2025,Saturday,2,Semester,2801,326,27.1,33,1.4,111916,143323,157667,307.1,0,,144250
2/23/2025,Sunday,2,Semester,2318,353,24.6,56,0.2,136360,124803,127685,258.5,0,,123750
2/24/2025,Monday,2,Semester,5115,786,27.2,41,0.5,123746,188341,189326,360.8,0,,188387
2/25/2025,Tuesday,2,Semester,5670,646,24.5,53,2.4,74721,188217,205395.45440000002,399.5,0,,191076
2/26/2025,Wednesday,2,Semester,5135,586,26.6,67,2.2,117815,182659,183021,359.5,0,,182837
2/27/2025,Thursday,2,Semester,4808,658,25.8,55,0.1,117249,180270,181603,369.3,0,,177964
2/28/2025,Friday,2,Semester,5347,728,26,63,0.3,103540,185660,187915,382.5,0,,187295
3/1/2025,Saturday,3,Semester,2483,361,28.2,79,0,133230,136838,154723,303.1,0,,138016
3/2/2025,Sunday,3,Semester,3064,403,35,49,0,127744,148298,154106,312.4,0,,147902
3/3/2025,Monday,3,Semester,4829,539,26.9,63,0,131832,179443,180215,358.4,0,,175685
3/4/2025,Tuesday,3,Semester,4901,598,24.3,54,0,157011,170944,186418,377,0,,170271
3/5/2025,Wednesday,3,Semester,4557,800,31.1,55,0,129396,176251,178483,356.7,0,,174892
3/6/2025,Thursday,3,Semester,4714,628,30.4,70,0,78040,172873,173106,347.8,0,Orientation,169354
3/7/2025,Friday,3,Semester,4688,531,35.4,64,0,161788,175116,176023,347.8,0,,176339
3/8/2025,Saturday,3,Semester,2133,378,30.4,51,0,135866,127295,131764,255.5,0,,128777
3/9/2025,Sunday,3,Semester,2407,363,27.9,64,0,125377,126278,127053,241.7,0,Festival,127793
3/10/2025,Monday,3,Semester,4487,760,25.8,71,0,154295,172017,173513,357.8,0,,172786
3/11/2025,Tuesday,3,Semester,4315,512,32.9,56,0,125400,165127,167278,336.1,0,Orientation,162681
3/12/2025,Wednesday,3,Semester,5163,483,33.6,59,0,170513,188900,204394,412.9,0,,184297
3/13/2025,Thursday,3,Semester,4488,570,31.1,60,0,111856,167738,170609,333.8,0,,164358
3/14/2025,Friday,3,Semester,4609,704,28.6,81,0,132383,175436,178347,344.5,0,,181836
3/15/2025,Saturday,3,Semester,2471,395,29.2,54,0,174270,127592,128991,263,0,,130023
3/16/2025,Sunday,3,Semester,2686,300,29.2,52,0,97016,134089,137685,276.3,0,,135488
3/17/2025,Monday,3,Semester,5432,686,32.1,54,0,88475,193659,195859,383.1,0,Orientation,196291
3/18/2025,Tuesday,3,Semester,4984,674,31.1,55,0,94871,183970,184406,379,0,,183502
3/19/2025,Wednesday,3,Semester,4824,735,31.5,65,0,92860,176617,179495,359.6,0,,179280
3/20/2025,Thursday,3,Semester,4793,732,36.7,51,0,87954,177389,178080,362.5,1,,174027
3/21/2025,Friday,3,Semester,4632,539,29.1,54,0,135855,169975,187998,383.9,0,,169440
3/22/2025,Saturday,3,Semester,2485,376,28.2,58,0,159177,136607,136252,273.1,0,,135049
3/23/2025,Sunday,3,Semester,2333,324,34,69,0,115731,132190,133625,268.9,0,,128400
3/24/2025,Monday,3,Semester,5619,763,29.5,51,0,143587,197630,198354,397.5,0,,194181
3/25/2025,Tuesday,3,Semester,4707,617,35.5,49,0,135594,168418,169112,334.3,0,Orientation,171028
3/26/2025,Wednesday,3,Semester,5272,767,32.5,51,0,153324,190955,193563,392.8,0,,193621
3/27/2025,Thursday,3,Semester,5467,730,32.6,53,0,133667,190649,193391,387,0,,193845
3/28/2025,Friday,3,Semester,5076,623,27.6,62,0,167378,182280,184679,366.1,0,,182041
3/29/2025,Saturday,3,Semester,2583,374,31.5,50,0,134852,134040,136301,282.2,0,,130232
3/30/2025,Sunday,3,Semester,2332,365,34.9,54,0,87475,130962,131117,260.8,0,,128408
3/31/2025,Monday,3,Semester,5283,639,29.6,42,0,151811,185928,201207,413.5536000000001,0,Sports_Event,183252
4/1/2025,Tuesday,4,Semester,4389,564,35.9,57,4.5,112228,170116,172227,342.6,0,,169910
4/2/2025,Wednesday,4,Semester,5446,647,37.1,60,2.9,141192,190271,192755,387.1,0,,192043
4/3/2025,Thursday,4,Semester,4964,735,34.3,73,0.4,111479,184503,184115,372.7,0,,183387
4/4/2025,Friday,4,Semester,4244,583,29.9,39,2.4,149010,168113,170831,333.9,0,,167993
4/5/2025,Saturday,4,Semester,2498,303,39.8,63,1.6,108092,136680,138276,275.9,0,,134175
4/6/2025,Sunday,4,Semester,2415,421,37.6,49,0.4,144314,136618,137420,275.3,0,,135000
4/7/2025,Monday,4,Semester,5279,651,38.2,61,0.8,132863,193766,195469,401.5,1,,197447.75040000002
4/8/2025,Tuesday,4,Semester,5079,567,34.8,51,7.4,140604,180652,181858,363.5,0,,186007
4/9/2025,Wednesday,4,Semester,5691,654,36.1,56,0.4,117443,197676.2672,201636,402.4,1,Festival,196792
4/10/2025,Thursday,4,Semester,5629,521,32.3,57,1.2,156177,192038,205395.45440000002,413.5536000000001,0,,194247
4/11/2025,Friday,4,Semester,5260,493,39.7,68,2.6,140040,186812,189297,376.3,0,,188171
4/12/2025,Saturday,4,Semester,2388,380,28.9,66,0.4,86507,131488,133357,256.4,0,,134390
4/13/2025,Sunday,4,Semester,2359,363,35.9,59,0.5,77621,133851,135462,280.8,0,,137602
4/14/2025,Monday,4,Semester,5340,592,35.1,51,3.7,181918,190412,205395.45440000002,413.5536000000001,0,,189921
4/15/2025,Tuesday,4,Semester,4971,617,37.8,55,0.1,126727,181647,183362,370.3,0,Festival,183937
4/16/2025,Wednesday,4,Semester,5138,699,28.8,75,0.3,126510,181604,184570,364.1,0,,186389
4/17/2025,Thursday,4,Semester,4923,637,38.2,59,5.8,129227,189817,193261,389,0,,192580
4/18/2025,Friday,4,Semester,5474,671,33.1,71,0.2,101341,195239,196860,406.6,0,,196372
4/19/2025,Saturday,4,Semester,2426,388,39,42,3.3,148036,137831,141765,281.4,0,,137398
4/20/2025,Sunday,4,Semester,2504,306,32.4,70,1,108825,128420,129964,273.1,0,,130944
4/21/2025,Monday,4,Semester,4724,800,38.5,51,1.5,118643,183092,183356,354.4,0,,185648
4/22/2025,Tuesday,4,Semester,5975,730,37.4,60,6.2,151335,197676.2672,205395.45440000002,413.5536000000001,0,,197447.75040000002
4/23/2025,Wednesday,4,Semester,4322,612,33.5,43,3.2,82197,171729,176000,358.2,0,,169272
4/24/2025,Thursday,4,Semester,4910,664,33.6,56,2.5,96649,182473,183067,366,0,,183854
4/25/2025,Friday,4,Semester,5089,729,36.3,50,6,160153,188301,189875,383,0,,184794
4/26/2025,Saturday,4,Semester,3024,300,34.3,47,3.5,152373,148510,149267,291.9,0,,153872
4/27/2025,Sunday,4,Semester,2143,362,37.6,59,0.5,160614,134906,134600,271.3,0,,134685
4/28/2025,Monday,4,Semester,6000,555,40,71,2.4,116160,197676.2672,205358,407.7,0,,197447.75040000002
4/29/2025,Tuesday,4,Semester,4767,538,34.4,42,0.1,111023,178343,179410,364.4,0,,179170
4/30/2025,Wednesday,4,Semester,5333,460,36.9,67,10.3,99758,189622,194541,383.4,0,,189482
5/1/2025,Thursday,5,Vacation,1952,626,39.3,45,1.1,107126,132298,136673,270.9,0,,135026
5/2/2025,Friday,5,Vacation,2120,532,37.2,67,3.7,133542,127143,129481,260,0,,126761
5/3/2025,Saturday,5,Vacation,1956,388,36,41,0.5,132179,129161,129888,247,0,Sports_Event,130132
5/4/2025,Sunday,5,Vacation,1921,349,40,55,2.4,127527,129990,132889,264.4,0,,128100
5/5/2025,Monday,5,Vacation,2038,548,38.1,54,5.1,124371,130523,136220,270,0,,130548
5/6/2025,Tuesday,5,Vacation,1870,534,37.2,48,0.1,125325,131302,133382,267.3,0,,126363
5/7/2025,Wednesday,5,Vacation,1952,608,35,60,4.8,105837,130526,146492,292.5,0,,130897
5/8/2025,Thursday,5,Vacation,1971,570,37.2,51,3.6,134260,125345,128713,237,0,,127680
5/9/2025,Friday,5,Vacation,2064,602,35.1,36,8.8,151966,131125,133080,264.8,0,,129759
5/10/2025,Saturday,5,Vacation,1937,300,38.5,54,0.6,144482,121129,126219,252.2,0,Festival,118795
5/11/2025,Sunday,5,Vacation,1949,314,37.6,72,2.4,108129,119752,137179,276,0,,118079
5/12/2025,Monday,5,Vacation,2001,571,40,61,0.2,117802,131437,134819,275.6,0,,132185
5/13/2025,Tuesday,5,Vacation,1980,744,38.1,47,0.8,132216,138349,140005,280.7,0,,137435
5/14/2025,Wednesday,5,Vacation,1999,512,35.6,67,5.4,113577,126778,128123,265.7,0,,128575
5/15/2025,Thursday,5,Vacation,2107,559,34.4,70,1.2,137029,125852,128814,267.4,0,,124243
5/16/2025,Friday,5,Vacation,2143,624,38.7,70,8.4,142695,128434,130972,253.6,0,,123518
5/17/2025,Saturday,5,Vacation,2041,305,37.4,52,10.9,96486,128241,130697,263.5,0,,127823
5/18/2025,Sunday,5,Vacation,2126,340,40,59,7.5,148371,124529,127283,257.8,0,,122900
5/19/2025,Monday,5,Vacation,2010,666,40,55,6.6,182223.7008,135656,134807,270.2,0,,137539
5/20/2025,Tuesday,5,Vacation,1871,723,39.7,53,0,99392,136246,151855,302,0,,134119
5/21/2025,Wednesday,5,Vacation,2102,667,40,58,4.8,117133,129294,131710,275.1,0,,127331
5/22/2025,Thursday,5,Vacation,2085,610,39,46,1.8,119063,129152,128010,257.8,0,,131483
5/23/2025,Friday,5,Vacation,1898,479,34.2,67,7.9,134527,124200,129521,256.7,0,,128055
5/24/2025,Saturday,5,Vacation,1908,432,40,65,1.6,144813,129539,133507,265.7,0,,128405
5/25/2025,Sunday,5,Vacation,2019,388,38.2,69,2.9,119205,125239,125974,250.9,0,,129022
5/26/2025,Monday,5,Vacation,2037,538,40,67,0.6,144552,134629,136172,287.4,0,,138487
5/27/2025,Tuesday,5,Vacation,2120,530,38.4,37,1.8,155824,129567,131013,265.2,0,,126642
5/28/2025,Wednesday,5,Vacation,2039,617,40,71,7.3,118572,132719,133072,272.3,0,,135786
5/29/2025,Thursday,5,Vacation,2024,603,35.8,46,11.8,108992,126134,127678,267.9,0,,126080
5/30/2025,Friday,5,Vacation,1900,426,40,62,0.1,122966,130365,132495,252.5,0,,129042
5/31/2025,Saturday,5,Vacation,1904,300,38.7,41,3.1,131999,127903,128690,254.9,0,,126066
6/1/2025,Sunday,6,Vacation,2093,358,34.9,69,3.1,131541,120218,122446,238.3,0,,120433
6/2/2025,Monday,6,Vacation,1980,386,33.1,85,18.6,174246,120645,121578,243.7,0,,120187
6/3/2025,Tuesday,6,Vacation,1984,568,30,74,42.4,106166,118100,135242,268.1,1,,114658.8704
6/4/2025,Wednesday,6,Vacation,1870,613,31.5,90,3.3,155959,129263,148227,291.9,0,,129546
6/5/2025,Thursday,6,Vacation,2016,693,30.3,90,48,157001,126125,127837,259.6,0,,124009
6/6/2025,Friday,6,Vacation,2123,702,31.2,74,6.1,137449,130881,132581,255.9,0,,130941
6/7/2025,Saturday,6,Vacation,1938,346,33.1,69,3.1,140707,116465,118082,245.7,0,,122938
6/8/2025,Sunday,6,Vacation,1863,363,32.5,75,6.2,136774,125269,129980,262.8,0,,128561
6/9/2025,Monday,6,Vacation,2091,450,30.5,88,12.2,129428,125647,126387,250.9,0,,124729
6/10/2025,Tuesday,6,Vacation,2114,546,36,75,31.6,92038,129933,146778,303.4,0,Festival,127673
6/11/2025,Wednesday,6,Vacation,1902,525,35,74,5.8,135028,126773,129559,266.1,0,,123408
6/12/2025,Thursday,6,Vacation,1941,775,29.5,72,1,155717,125359,128444,262.2,0,,126383
6/13/2025,Friday,6,Vacation,2113,673,36.7,76,18.5,105636,130113,133763,263.2,0,,129886
6/14/2025,Saturday,6,Vacation,1884,357,33.8,74,10.4,134899,125451,128783,253.4,0,,126369
6/15/2025,Sunday,6,Vacation,2055,341,31.1,77,10.8,122420,118061,121229,250.1,0,,122337
6/16/2025,Monday,6,Vacation,1930,606,32.2,87,2,138688,131616,134013,273.2,0,,132089
6/17/2025,Tuesday,6,Vacation,1899,403,33.7,72,44.6,84234,124350,126695,266.3,0,,127637
6/18/2025,Wednesday,6,Vacation,1851,679,32.2,65,3.3,123585,121839,124475,250.1,0,,121948
6/19/2025,Thursday,6,Vacation,1903,570,32.5,72,19.2,96999,125377,124275,236.5,0,,127277
6/20/2025,Friday,6,Vacation,1955,503,31.2,71,48.7,142003,129665,132231,263,0,,130197
6/21/2025,Saturday,6,Vacation,2109,337,30,86,20.4,130532,120115,121135,230.05743999999999,0,,116154
6/22/2025,Sunday,6,Vacation,2040,370,28,85,3.1,133621,116408.2352,117971.9424,236.6,0,,114658.8704
6/23/2025,Monday,6,Vacation,2067,603,29.5,76,2.5,131921,128218,129965,251.2,0,,131745
6/24/2025,Tuesday,6,Vacation,1893,621,33.8,79,28.4,139538,128412,130499,255,0,,128328
6/25/2025,Wednesday,6,Vacation,2011,609,27.3,73,3.9,132321,119651,122749,253.3,1,Orientation,120718
6/26/2025,Thursday,6,Vacation,2051,762,29,85,11,123355,132173,149965,303.8,0,,131837
6/27/2025,Friday,6,Vacation,2119,683,27.6,88,36.7,88437,120504,124727,240.6,0,,119966
6/28/2025,Saturday,6,Vacation,2120,381,35.3,89,12.5,126234,123245,126910,244.4,0,,120159
6/29/2025,Sunday,6,Vacation,2064,348,32.7,71,19.9,140601,122887,139173,274.9,0,,122612
6/30/2025,Monday,6,Vacation,2101,590,31.4,90,10.2,127664,127362,129721,266.7,0,Festival,127093
7/1/2025,Tuesday,7,Semester,5179,494,25.2,68,36.3,133573,181524,183899,353.4,0,,180167
7/2/2025,Wednesday,7,Semester,4684,570,27.6,74,14.2,131527,173881,177323,340,0,,179066
7/3/2025,Thursday,7,Semester,4632,417,27.3,86,43.6,178958,164827,164913,351,0,,161069
7/4/2025,Friday,7,Semester,5101,657,30.7,78,6.3,120955,184339,200340,407.7,0,,185281
7/5/2025,Saturday,7,Semester,2491,395,27.9,63,15.1,161548,132385,133297,249.5,0,,140229
7/6/2025,Sunday,7,Semester,2816,358,27.9,80,3.1,140367,136768,155516,309.4,0,,138251
7/7/2025,Monday,7,Semester,3823,672,28.5,77,3.1,120287,158096,161747,315.7,0,,154646
7/8/2025,Tuesday,7,Semester,4749,688,30.4,82,15.7,142876,178666,181298,357.8,0,Orientation,181638
7/9/2025,Wednesday,7,Semester,5283,648,30.7,77,3.6,107953,181994,181545,356.8,0,,181224
7/10/2025,Thursday,7,Semester,4242,637,28,71,3.1,125519,162276,164033,322.4,0,Sports_Event,160353
7/11/2025,Friday,7,Semester,4624,686,27.5,75,11.5,79903,173447,175481,361.8,0,,170174
7/12/2025,Saturday,7,Semester,2039,357,32.5,87,3.4,102366,126897,130162,264.8,0,,129547
7/13/2025,Sunday,7,Semester,3327,365,26.7,77,15.1,85773,145487,146065,285.6,0,,148289
7/14/2025,Monday,7,Semester,5000,619,27.2,79,3.1,108538,178390,179980,353.7,0,,177199
7/15/2025,Tuesday,7,Semester,5349,641,28.5,84,21.3,126565,184935,189907,391.2,0,,187250
7/16/2025,Wednesday,7,Semester,5386,718,28.2,79,15.9,135082,186443,187785,376.7,0,Sports_Event,186444
7/17/2025,Thursday,7,Semester,5240,504,22.3,73,20.8,99482,181852,198371,401.7,0,,179004
7/18/2025,Friday,7,Semester,5415,613,29.7,69,42.1,111449,183183,187094,380.7,0,Festival,180209
7/19/2025,Saturday,7,Semester,2992,313,29.6,75,20.6,145079,133371,135549,269.3,0,,130885
7/20/2025,Sunday,7,Semester,2145,342,34,84,0.4,143451,125259,130285,262.3,0,,127047
7/21/2025,Monday,7,Semester,5287,655,28,83,5.8,144795,188460,189346,368.8,0,,184791
7/22/2025,Tuesday,7,Semester,5065,624,28.4,79,3.1,74702.5968,174046,175452,349.5,0,,173787
7/23/2025,Wednesday,7,Semester,4342,605,32.2,78,3.1,135767,164850,165874,328.7,0,,164055
7/24/2025,Thursday,7,Semester,5512,664,25.2,79,3.1,97546,188611,188855,384.5,0,,188025
7/25/2025,Friday,7,Semester,5186,698,27.8,75,7.2,133793,180811,197577,382.3,0,,181272
7/26/2025,Saturday,7,Semester,3107,350,27.5,75,3.1,182223.7008,131532,132686,264.7,0,,127972
7/27/2025,Sunday,7,Semester,2420,332,29.5,65,25.9,141554,125850,128085,259.6,0,,125897
7/28/2025,Monday,7,Semester,4743,659,32.5,76,12.8,164811,180859,183207,356.8,0,,180076
7/29/2025,Tuesday,7,Semester,4999,519,29.5,85,3.1,118697,174244,174934,366.7,0,,173626
7/30/2025,Wednesday,7,Semester,4856,568,29.9,76,3.1,96397,168227,185598,372.4,0,,163560
7/31/2025,Thursday,7,Semester,5403,565,30,62,48.1,152314,180949,197052,394.2,0,,178564
8/1/2025,Friday,8,Semester,4837,674,28.3,82,23,143730,184024,184816,377.3,0,,183551
8/2/2025,Saturday,8,Semester,2776,344,31.8,66,35.8,129697,133089,148549,276.3,0,Sports_Event,133586
8/3/2025,Sunday,8,Semester,2631,366,31.1,69,3.1,106195,131946,134110,276.6,0,,130685
8/4/2025,Monday,8,Semester,4967,647,26.8,72,3.1,130853,172428,172893,351.2,0,,169556
8/5/2025,Tuesday,8,Semester,5266,657,23.7,72,15.7,151589,183767,200076,391.1,0,,182273
8/6/2025,Wednesday,8,Semester,5568,759,30.4,78,49.4,109793,190354,191499,388.2,0,,186596
8/7/2025,Thursday,8,Semester,5420,540,27,80,28.8,74702.5968,183927,187549,383.1,0,,184502
8/8/2025,Friday,8,Semester,5199,673,29.1,84,8.7,114568,180555,195721,395,0,,182502
8/9/2025,Saturday,8,Semester,2637,416,28,83,19.2,141354,131432,132363,276.3,0,Sports_Event,127637
8/10/2025,Sunday,8,Semester,2392,385,29.4,82,2.1,131244,136047,153106,310.1,0,,134731
8/11/2025,Monday,8,Semester,4138,707,26.8,71,13.7,139414,166624,167649,341.5,0,,169653
8/12/2025,Tuesday,8,Semester,5104,590,28.4,63,14.7,140216,184347,184074,363.1,0,,188181
8/13/2025,Wednesday,8,Semester,4785,483,25.2,87,2.3,143526,172494,176574,362.3,0,,171594
8/14/2025,Thursday,8,Semester,4469,586,28.7,70,22.6,106071,164485,181601,361.4,0,Festival,162174
8/15/2025,Friday,8,Semester,5356,702,23.4,70,20.3,109287,181698,181076,361.1,0,,182216
8/16/2025,Saturday,8,Semester,2520,321,28.4,73,36.6,123208,132518,136389,279.3,0,,129647
8/17/2025,Sunday,8,Semester,2745,411,25.2,70,36.4,124627,132618,137114,280,0,Festival,132044
8/18/2025,Monday,8,Semester,4982,497,29.3,82,20.4,128445,175786,178416,356.6,0,,175350
8/19/2025,Tuesday,8,Semester,5090,590,27.7,84,12,171936,178788,180811,360.9,0,,175557
8/20/2025,Wednesday,8,Semester,5275,579,28.7,80,3.1,124139,178041,178735,356.9,0,,176251
8/21/2025,Thursday,8,Semester,5272,738,26.5,79,3.1,140196,182630,182529,366.7,0,,184802
8/22/2025,Friday,8,Semester,5354,558,28.1,83,35.1,124767,177293,179720,361.9,0,,179096
8/23/2025,Saturday,8,Semester,2430,408,24.7,83,48.9,89615,118468,121275,244,0,,117094
8/24/2025,Sunday,8,Semester,2757,334,27.9,78,2.3,82008,138035,140010,276.1,0,,141644
8/25/2025,Monday,8,Semester,4497,685,27.3,75,2.9,143567,168553,170756,342.8,0,,167724
8/26/2025,Tuesday,8,Semester,4755,533,25.9,90,17.7,161116,175092,176391,357.2,0,,174454
8/27/2025,Wednesday,8,Semester,4949,646,28.2,60,3.1,156621,168563,183461,367,0,,170867
8/28/2025,Thursday,8,Semester,5193,653,29.5,90,7,101727,181463,184265,365.2,0,,180725
8/29/2025,Friday,8,Semester,5390,693,24.9,78,3.5,122974,187874,188704,375.1,0,Sports_Event,193940
8/30/2025,Saturday,8,Semester,2629,300,26.6,86,21.5,182211,134317,132821,258.7,0,,135653
8/31/2025,Sunday,8,Semester,2062,350,28.8,85,30.4,136295,117149,118645,231,0,,114659
9/1/2025,Monday,9,Semester,5260,688,28.4,78,13.6,93785,184790,185642,383,0,,187282
9/2/2025,Tuesday,9,Semester,5112,760,29.9,81,46.3,77854,180219,181860,375.2,0,Sports_Event,178218
9/3/2025,Wednesday,9,Semester,4974,718,27.9,77,1.7,131450,180324,183735,362.6,0,,180852
9/4/2025,Thursday,9,Semester,5480,580,24.3,82,6.2,98642,181609,183328,361.7,0,,183851
9/5/2025,Friday,9,Semester,5509,672,26.2,76,40.8,129836,186164,190433,384.5,0,,189803
9/6/2025,Saturday,9,Semester,2711,381,29.2,89,3.8,156856,140582,141501,287.2,0,,141323
9/7/2025,Sunday,9,Semester,2638,357,29.8,90,3.1,156788,135618,139282,293,0,Orientation,135072
9/8/2025,Monday,9,Semester,4660,567,26.3,71,6,151266,171624,171565,343.4,0,,169354
9/9/2025,Tuesday,9,Semester,5607,660,31.6,72,29.5,151363,191074,192994,376.6,0,,188836
9/10/2025,Wednesday,9,Semester,5238,544,30.2,67,7.7,156112,185559,188627,383.3,0,Festival,186210
9/11/2025,Thursday,9,Semester,4784,539,24.1,80,1,90879,169617,188363,374.1,0,,171446
9/12/2025,Friday,9,Semester,5134,645,30.2,65,1.7,159034,181696,199248,401,0,,179154
9/13/2025,Saturday,9,Semester,2426,348,28.7,80,9.4,165784,125985,129022,263,0,Sports_Event,129307
9/14/2025,Sunday,9,Semester,2616,393,34,86,3.1,170848,137511,142164,280.4,0,,138760
9/15/2025,Monday,9,Semester,4440,649,23.7,83,22.5,152130,166167,167187,325.9,0,,169871
9/16/2025,Tuesday,9,Semester,5785,620,31.5,88,8,140102,192442,192632,388.3,0,Festival,197409
9/17/2025,Wednesday,9,Semester,4787,593,29.9,90,45.5,151349,169664,176256,354.4,0,,166786
9/18/2025,Thursday,9,Semester,5154,603,33.4,90,11,109814,184108,202505,407.1,0,,181281
